Articulo,Coste Unitario,Valor Unitario,INVERSION INDIVIDUAL,Total Invertido,Precio de venta CAJA,Venta deL Stock,INGREOS ESPERADOS,Stock,Cantidad Unitaria,Multiplicador Unitario,Imagen,color,Material,Marca,medidas piercing,formato,unidades de medida
Ball Closure Negro con bola de 4mm,2,2,6,"3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/hrl8DpRYcEaqYF5y5GrH.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.2x0.8,3 Unidad,Unidad
Expansor Madera,"3,6","3,6",18,"3402,92",8,40,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/lQYq1NLhdN7w5nbSuDi2.jpg,Madera,Madera,CRAZY-FACTORY,3,5 Unidad,Unidad
Expansor Madera,"3,6","3,6","10,8","3402,92",8,24,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/lQYq1NLhdN7w5nbSuDi2.jpg,Madera,Madera,CRAZY-FACTORY,4,3 Unidad,Unidad
Expansor Madera,"3,6","3,6",18,"3402,92",8,40,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/lQYq1NLhdN7w5nbSuDi2.jpg,Madera,Madera,CRAZY-FACTORY,5,5 Unidad,Unidad
Expansor Madera,"3,6","3,6","14,4","3402,92",8,32,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/lQYq1NLhdN7w5nbSuDi2.jpg,Madera,Madera,CRAZY-FACTORY,6,4 Unidad,Unidad
Expansor Madera,"3,6","3,6","3,6","3402,92",8,8,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/lQYq1NLhdN7w5nbSuDi2.jpg,Madera,Madera,CRAZY-FACTORY,8,1 Unidad,Unidad
Expansor Madera,"3,6","3,6","10,8","3402,92",8,24,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/lQYq1NLhdN7w5nbSuDi2.jpg,Madera,Madera,CRAZY-FACTORY,10,3 Unidad,Unidad
Dilataciones Falsas,2,2,62,"3402,92","2,5","77,5","17359,5",31,1,31,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/TEYjmq4bSCVRsq9gP6z1.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,1.2x0.8,31 Unidad,Unidad
Tunel Madera,6,6,12,"3402,92",8,16,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/7rIeRKTUyw2r8FrD3PZ8.jpg,Madera,Madera,CRAZY-FACTORY,3,2 Unidad,Unidad
Tunel Madera,6,6,12,"3402,92",8,16,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/7rIeRKTUyw2r8FrD3PZ8.jpg,Madera,Madera,CRAZY-FACTORY,4,2 Unidad,Unidad
Tunel Madera,6,6,12,"3402,92",8,16,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/7rIeRKTUyw2r8FrD3PZ8.jpg,Madera,Madera,CRAZY-FACTORY,5,2 Unidad,Unidad
Tunel Madera,6,6,12,"3402,92",8,16,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/7rIeRKTUyw2r8FrD3PZ8.jpg,Madera,Madera,CRAZY-FACTORY,6,2 Unidad,Unidad
Tunel Madera,6,6,12,"3402,92",8,16,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/7rIeRKTUyw2r8FrD3PZ8.jpg,Madera,Madera,CRAZY-FACTORY,14,2 Unidad,Unidad
Tunel Madera,6,6,24,"3402,92",8,32,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/7rIeRKTUyw2r8FrD3PZ8.jpg,Madera,Madera,CRAZY-FACTORY,16,4 Unidad,Unidad
Espiral Blanco,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/1oaS4amKSKAhmq9HrV3e.jpg,Acrilico de colores,Madera,CRAZY-FACTORY,3,2 Unidad,Unidad
Espiral Blanco,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9mCDZSjXJBGzTqET2oNK.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,4,2 Unidad,Unidad
Espiral Blanco,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9mCDZSjXJBGzTqET2oNK.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,5,2 Unidad,Unidad
Espiral Blanco,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9mCDZSjXJBGzTqET2oNK.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,6,2 Unidad,Unidad
Espiral Blanco,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9mCDZSjXJBGzTqET2oNK.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,12,2 Unidad,Unidad
Espiral Blanco,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9mCDZSjXJBGzTqET2oNK.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,14,2 Unidad,Unidad
Espiral Blanco,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9mCDZSjXJBGzTqET2oNK.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,16,2 Unidad,Unidad
Espiral Negro,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/3pJCuvpDcTukbfLrSRYi.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,3,2 Unidad,Unidad
Espiral Negro,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/3pJCuvpDcTukbfLrSRYi.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,4,2 Unidad,Unidad
Espiral Negro,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/3pJCuvpDcTukbfLrSRYi.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,5,2 Unidad,Unidad
Espiral Negro,2,2,4,"3402,92",6,12,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/3pJCuvpDcTukbfLrSRYi.jpg,Acrilico de colores,Acrilico,CRAZY-FACTORY,6,2 Unidad,Unidad
Barbel Plata Titanio con Bola 4mm,"1,2","1,2","8,4","3402,92",12,84,"17359,5",7,1,7,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.2x0.8,7 Unidad,Unidad
Barbel Plata Titanio con Bola 4mm,"1,2","1,2","2,4","3402,92",12,24,"17359,5",2,1,2,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.2x10,2 Unidad,Unidad
Barbel Plata Titanio con Bola 4mm,"1,2","1,2",6,"3402,92",12,60,"17359,5",5,1,5,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.6x10,5 Unidad,Unidad
Barbel Plata Titanio con Bola 4mm,"1,2","1,2","4,8","3402,92",12,48,"17359,5",4,1,4,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.6x12,4 Unidad,Unidad
Barbel Plata Titanio con Bola 4mm,"1,2","1,2",6,"3402,92",12,60,"17359,5",5,1,5,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.6x14,5 Unidad,Unidad
Barbel Plata Titanio con Bola 5mm,"1,2","1,2","7,2","3402,92",12,72,"17359,5",6,1,6,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.6x14,6 Unidad,Unidad
Barbel Plata Titanio con Bola 5mm,"1,2","1,2","3,6","3402,92",12,36,"17359,5",3,1,3,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.6x15,3 Unidad,Unidad
Barbel Plata Titanio con Bola 5mm,"1,2","1,2","2,4","3402,92",12,24,"17359,5",2,1,2,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.6x16,2 Unidad,Unidad
Barbel Plata Titanio con Bola 5mm,"1,2","1,2","4,8","3402,92",12,48,"17359,5",4,1,4,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.6x19,4 Unidad,Unidad
Barbel Plata Titanio con Bola 5mm,"1,2","1,2",6,"3402,92",12,60,"17359,5",5,1,5,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.6x32,5 Unidad,Unidad
Barbel Plata Titanio con Bola 5mm,"1,2","1,2",6,"3402,92",12,60,"17359,5",5,1,5,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Titanio,CRAZY-FACTORY,1.6x35,5 Unidad,Unidad
Banana Dorado con Bolas de 3mm,"4,7","4,7","9,4","3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/gpq1xGWHWVyD0ximAFKV.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x10,2 Unidad,Unidad
Banana Plata con Bolas de 3mm,"1,2","1,2","8,4","3402,92",10,70,"17359,5",7,1,7,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/XoywxdifjuZspfNGYGFV.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.7,7 Unidad,Unidad
Banana Plata con Bolas de 3mm,"1,2","1,2","4,8","3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/XoywxdifjuZspfNGYGFV.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.8,4 Unidad,Unidad
Banana Plata con Bolas de 4mm,"1,2","1,2",12,"3402,92",10,100,"17359,5",10,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/XoywxdifjuZspfNGYGFV.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.8,10 Unidad,Unidad
Banana Plata con Bolas de 5mm,"1,2","1,2",12,"3402,92",10,100,"17359,5",10,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/XoywxdifjuZspfNGYGFV.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.8,10 Unidad,Unidad
Banana Plata con Bolas de 3mm,"1,2","1,2",12,"3402,92",10,100,"17359,5",10,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/XoywxdifjuZspfNGYGFV.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.9,10 Unidad,Unidad
Banana Plata con Bolas de 3mm,"1,2","1,2",12,"3402,92",10,100,"17359,5",10,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/XoywxdifjuZspfNGYGFV.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x10,10 Unidad,Unidad
Banana Plata Titanio con Bolas de 3mm,"1,2","1,2","3,6","3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/XoywxdifjuZspfNGYGFV.jpg,Plata,Titanio,CRAZY-FACTORY,1.2x10,3 Unidad,Unidad
Barbel Dorado Titanio con Bola 3mm,"1,2","1,2","4,8","3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/BBT08ExAjtWzHdVW2iGC.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.8,4 Unidad,Unidad
Barbel Dorado Titanio con Bola 3mm,"1,2","1,2","1,2","3402,92",10,10,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/BBT08ExAjtWzHdVW2iGC.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x12,1 Unidad,Unidad
Nabel Plata  Bioflex,"4,5","4,5","22,5","3402,92",15,75,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/aIAxNBLkHI4Bwj1zaNgm.jpg,Plata,PTFE,CRAZY-FACTORY,1.6x10,5 Unidad,Unidad
Nabel Plata Color,"0,6","0,6","1,8","3402,92",12,36,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/BYKBbo5C3UkSmwv6EP05.jpg,Acrilico de colores,Acero 316L,CRAZY-FACTORY,1.6x10,3 Unidad,Unidad
Nabel Plata Brillo,"4,5","4,5","22,5","3402,92",12,60,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/OOVQB5QpyiWTrZmSGYDn.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.6x0.6,5 Unidad,Unidad
Nabel Plata Brillo Doble,"4,5","4,5","22,5","3402,92",12,60,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/Qdt1CeTQGcSKN94HqnRa.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.6x0.6,5 Unidad,Unidad
Nabel Plata Brillo Color,"4,5","4,5",9,"3402,92",12,24,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/SrC9dyJ85DCLSI2l0FTz.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.6x10,2 Unidad,Unidad
Nabel Dorado Brillo,"4,6","4,6","13,8","3402,92",12,36,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/81DwDyqfFTt8f1gHWPdV.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x0.8,3 Unidad,Unidad
Nabel Dorado Brillo Doble,"5,2","5,2","5,2","3402,92",12,12,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/toimebwn9Q6LghDO21vd.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x0.8,1 Unidad,Unidad
Nabel Dorado,"4,7","4,7","4,7","3402,92",12,12,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/MjMJPaCz4VLttwmuO8yR.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x10,1 Unidad,Unidad
Nabel Dorado Brillo Doble Pequeño,"5,2","5,2","5,2","3402,92",12,12,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/toimebwn9Q6LghDO21vd.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x0.8,1 Unidad,Unidad
Nabel Dorado Brillo Doble Pequeño,"5,2","5,2","5,2","3402,92",12,12,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/toimebwn9Q6LghDO21vd.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x0.6,1 Unidad,Unidad
Nabel Negro,"4,7","4,7",47,"3402,92",12,120,"17359,5",10,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/iLqdIBAv8YOcaBffkzJM.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.6x10,10 Unidad,Unidad
Nosetril Plata Brillo,"1,2","1,2","14,4","3402,92",10,120,"17359,5",12,1,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/WR6BuyhQ5j3FXkMMwFtU.jpg,Plata,Acero 316L,CRAZY-FACTORY,1x0.7,12 Unidad,Unidad
Nosetril D-Ring Plata,"2,5","2,5",10,"3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/86EGHRjmTFXhuvmwiFgf.jpg,Plata,Acero 316L,AKIRA,1x0.7,4 Unidad,Unidad
Aro Flexible Pareja,"2,8","2,8","5,6","3402,92",15,30,"17359,5",2,1,2,https://alkimia.es/1602-home_default/segment-18-piezas-esterilizadas.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.8,2 Unidad,Unidad
Aro Nariz Abierto,"3,9","3,9","7,8","3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/B21hPZ5wUDErs0RtyVd6.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.8,2 Unidad,Unidad
Aro Nariz Segmento con Bola,"3,6","3,6","7,2","3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/Dzr4orD0B2BhlMwCD0z4.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.8,2 Unidad,Unidad
Aro Nariz Segmento,"4,5","4,5",9,"3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/if6O6OUluKxzO12JGxCZ.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.8,2 Unidad,Unidad
Nosetril-L Dorado Brillo 4 tamaños,3,3,12,"3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/BsOeH5IYMiRIorAwnVNc.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.7,4 Unidad,Unidad
Nosetril Dorado Brillo 4 tamaños,3,3,12,"3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/n8L3DTVNnzRyihcnKziX.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.7,4 Unidad,Unidad
Nosetril Recto Dorado Brillo 2mm,3,3,12,"3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/zML5lLdmt4XcaDkYVEsb.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.7,4 Unidad,Unidad
"Nosetril Recto Dorado Brillo 2,5mm",3,3,12,"3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/lS8QgC3n33CKHwJvrXYc.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.7,4 Unidad,Unidad
Nosetril Recto Dorado Brillo 4 Tamaños,3,3,12,"3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/RbrzFTvXO3WiqJMYglQi.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.7,4 Unidad,Unidad
Nosetril-L Dorado Brillo 2mm,3,3,12,"3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/DHrNXPTgKDD2eWJiEvqz.jpeg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.7,4 Unidad,Unidad
Barbel Dorado Bola 3mm,"4,7","4,7","23,5","3402,92",10,50,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ee1L7mWwCrqjgkLg54H3.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.6,5 Unidad,Unidad
Barbel Dorado Bola 3mm,"4,7","4,7","23,5","3402,92",10,50,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ee1L7mWwCrqjgkLg54H3.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.8,5 Unidad,Unidad
Barbel Dorado Bola 3mm,"4,7","4,7","23,5","3402,92",10,50,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ee1L7mWwCrqjgkLg54H3.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x10,5 Unidad,Unidad
Barbel Dorado Bola 5mm,"4,7","4,7","23,5","3402,92",10,50,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ee1L7mWwCrqjgkLg54H3.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x10,5 Unidad,Unidad
Barbel Dorado Bola 5mm,"4,7","4,7","23,5","3402,92",10,50,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ee1L7mWwCrqjgkLg54H3.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x12,5 Unidad,Unidad
Barbel Dorado Bola 5mm,"4,7","4,7","23,5","3402,92",10,50,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ee1L7mWwCrqjgkLg54H3.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x14,5 Unidad,Unidad
Nabel Clicker para el ombligo,"7,1","7,1","7,1","3402,92",20,20,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/nQe61OqPG8UvS8XLJLF4.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.6x10,1 Unidad,Unidad
Nabel Plata Flor con Brillos,"7,8","7,8","7,8","3402,92",20,20,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/FWivllA4mOhGpnVmMyVL.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.6x0.8,1 Unidad,Unidad
Nabel Plata Corazon con Brillos,6,6,12,"3402,92",20,40,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/0FprD7nSCuBvuNa1an7h.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.6x0.8,2 Unidad,Unidad
Nabel Dorado Angelito,6,6,6,"3402,92",20,20,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/fbqwlI04eOtsHzMTeHPh.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x0.8,1 Unidad,Unidad
Nabel Dorado Con Brillos Negros,6,6,6,"3402,92",20,20,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/iiwdmc8HZ5c7vOBx4FLS.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x10,1 Unidad,Unidad
Nabel Dorado Con Brillos Negros,6,6,6,"3402,92",20,20,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/Hr5ty6eMR6lXE9NhY50y.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x0.8,1 Unidad,Unidad
Nabel Plata Adorno Triple Invertido,"3,4","3,4","3,4","3402,92",10,10,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/sTuNmfahtc4wMh4kQTXg.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.6x0.8,1 Unidad,Unidad
Aro Clicker Dorado Brillantes Azules,"9,3","9,3","9,3","3402,92",25,25,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/NsfcBpADLkCNyasXgzwo.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.6x0.6,1 Unidad,Unidad
Nabel Dorado Clicker,13,13,13,"3402,92",25,25,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/JGrmVwrPsqKDTmckos4V.jpg,Dorado,Titanio,BODY-MOD,1.6x0.8,1 Unidad,Unidad
Nabel Plata Clicker,13,13,13,"3402,92",25,25,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/lzZHtvXGEMiXQw0shy0N.jpg,Plata,Titanio,BODY-MOD,1.6x0.8,1 Unidad,Unidad
Surface 90º,"2,9","2,9","5,8","3402,92",5,10,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/6YwfDLdIA91cVusLRHB5.jpg,Plata,Titanio,CRAZY-FACTORY,1.2x10,2 Unidad,Unidad
Surface 45º,"2,9","2,9","5,8","3402,92",5,10,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/6YwfDLdIA91cVusLRHB5.jpg,Plata,Titanio,CRAZY-FACTORY,1.2x12,2 Unidad,Unidad
